egoid,phonework1,fbgame2,fbgame4g2,_mergeQ2,prevphone3,facebook3,_mergeQ3,fallbreak4,uscgame4,_mergeQ4,overwhelmed5,cheerful5,calm5,active5,fresh5,interest5,overall5,_mergeQ5,health6,exercise6,sleep6,sleepqual6,weight6,_mergeQ6,polviews7,gaymarry7,govserv7,eqlchance7,dispol7,distv7,dissport7,disart7,_mergeQ7,tvmovie8,attsport8,wtchsport8,liveart8,alcohol8,videogame8,_mergeQ8,overwhelmed9,cheerful9,calm9,active9,fresh9,interest9,overall9,_mergeQ9,health10,exercise10,sleep10,sleepqual10,weight10,angry10,embarrassed10,_mergeQ10,polviews11,gaymarry11,govserv11,eqlchance11,dispol11,distv11,dissport11,disart11,_mergeQ11,tvmovie12,attsport12,wtchsport12,liveart12,alcohol12,videogame12,_mergeQ12,overwhelmed13,cheerful13,calm13,active13,fresh13,interest13,overall13,_mergeQ13,health14,exercise14,sleep14,sleepqual14,weight14,angry14,embarrassed14,_mergeQ14,polviews15,gaymarry15,govserv15,eqlchance15,dispol15,distv15,dissport15,disart15,_mergeQ15,tvmovie16,attsport16,wtchsport16,liveart16,alcohol16,videogame16,_mergeQ16,overwhelmed17,cheerful17,calm17,active17,fresh17,interest17,overall17,_mergeQ17,health18,exercise18,sleep18,sleepqual18,weight18,angry18,embarrassed18,_mergeQ18,polviews19,gaymarry19,govserv19,eqlchance19,dispol19,distv19,dissport19,disart19,_mergeQ19,overwhelmed38,cheerful38,calm38,active38,fresh38,interest38,overall38,_mergeQ38,health39,exercise39,sleep39,sleepqual39,weight39,angry39,embarrassed39,_mergeQ39
29914,2,1,1,3,1,0,3,2,1,3,2,3,2,2,2,3,3,3,2,2,4,4,3,3,1,1,3,1,3,2,4,2,3,2,1,2,1,2,2,3,2,3,3,2,3,4,2,3,2,2,4,3,3,2,2,3,1,1,2,2,2,2,3,1,3,2,1,2,1,1,2,3,3,3,2,2,2,4,2,3,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,2,1,1,2,3,3,2,1,2,2,3,2,3,1,3,6,4,3,2,1,3,1,1,2,2,2,2,3,2,3,3,3,3,3,3,3,3,3,2,3,3,4,3,2,2,3
38823,1,1,1,3,NA,NA,1,2,1,3,3,3,2,2,2,3,2,3,2,2,4,4,4,3,4,3,3,3,2,2,4,2,3,5,2,4,1,2,3,3,3,3,2,2,2,3,3,3,4,1,5,4,4,2,3,3,4,3,2,3,2,3,5,1,3,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,5,1,5,1,1,3,3,2,4,3,3,3,3,2,3,2,2,5,5,4,2,2,3,4,3,2,3,2,3,4,2,3,2,3,3,3,2,3,2,3,2,3,4,4,3,2,2,3
82282,NA,NA,NA,NA,2,0,2,2,0,3,2,2,2,3,2,2,4,3,2,3,3,4,3,3,1,1,4,1,1,1,1,1,3,2,1,2,1,1,1,3,4,2,2,1,1,1,5,3,3,2,2,3,3,3,2,3,1,1,3,2,1,1,2,1,3,2,1,2,1,1,1,3,4,2,2,3,3,2,4,3,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,3,1,3,3,1,1,3,3,3,2,1,6,2,3,3,1,3,1,1,4,1,1,5,5,5,3,3,1,2,1,1,1,5,3,4,3,1,5,3,3,1,3
55594,NA,1,1,2,1,0,3,2,1,3,2,2,2,2,2,3,3,3,2,2,3,4,2,3,2,2,3,3,2,2,4,1,3,2,2,2,1,2,1,3,2,3,2,3,2,1,3,3,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,3,5,5,1,2,3,3,5,1,1,2,2,1,5,3,3,2,4,5,3,2,2,3,2,2,3,2,1,3,2,2,3,2,2,3,3,2,2,2,3,2,3,2,3,3,2,3,3
25494,NA,1,1,2,1,0,3,2,1,3,2,4,3,3,2,3,3,3,2,3,4,3,3,3,3,1,2,4,2,3,2,2,3,2,2,2,2,1,4,3,2,3,3,3,4,3,2,3,3,2,2,4,3,2,1,3,3,1,2,4,2,2,3,2,3,2,1,2,1,1,4,3,3,3,3,2,3,3,2,3,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,2,1,2,1,1,4,3,4,3,3,3,2,3,2,3,2,2,5,3,3,1,1,3,3,1,2,4,2,2,2,2,3,NA,NA,NA,NA,NA,NA,NA,1,2,3,4,2,2,2,1,3
51552,NA,1,1,2,2,1,3,2,1,3,1,4,4,2,3,3,3,3,2,2,4,4,3,3,4,2,2,4,2,1,1,4,3,1,1,1,2,1,1,3,1,3,5,3,4,2,3,3,1,2,4,4,3,1,1,3,4,2,2,4,1,1,1,2,3,1,1,1,2,1,1,3,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,1,1,1,1,3,4,3,1,5,4,4,2,3,1,2,5,4,4,1,1,3,4,2,2,4,3,2,3,2,3,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1
58909,1,1,1,3,4,0,3,2,1,3,4,3,3,2,2,2,2,3,2,2,3,4,3,3,4,2,2,2,1,2,3,3,3,2,2,1,2,2,1,3,4,3,2,2,3,3,2,3,2,1,4,4,3,2,1,3,3,2,2,3,1,2,2,2,3,2,1,2,1,1,1,3,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,2,1,2,1,1,2,3,4,2,2,2,3,2,3,3,2,1,3,4,3,2,1,3,3,2,2,3,1,2,2,2,3,3,3,3,2,2,3,3,3,2,2,3,4,3,3,1,3
68494,2,1,1,3,5,0,3,1,1,3,2,4,3,3,2,3,3,3,2,2,3,4,3,3,4,3,3,2,2,2,1,1,3,1,1,1,2,1,1,3,1,4,2,3,2,4,2,3,2,1,3,4,3,2,1,3,4,3,2,2,1,1,1,1,3,1,1,1,1,1,1,3,2,4,1,3,1,4,2,3,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,2,1,1,1,1,1,3,3,3,1,2,2,4,3,3,2,1,3,4,3,2,2,3,4,3,3,2,2,1,1,1,3,2,4,3,3,3,4,2,3,2,1,3,4,3,1,2,3
78911,1,1,1,3,1,0,3,2,1,3,2,3,3,2,2,1,2,3,2,1,3,4,3,3,3,1,1,2,2,2,2,3,3,3,1,1,1,1,1,3,2,2,2,2,2,2,3,3,3,1,3,4,3,2,2,3,3,1,1,3,2,1,2,3,3,1,1,2,1,2,1,3,4,2,1,1,2,1,4,3,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,2,1,1,2,1,1,3,4,2,2,1,2,2,3,3,1,1,6,4,3,1,2,3,4,1,1,3,3,3,3,3,3,2,4,2,2,2,3,2,3,2,1,4,4,3,2,2,3
84841,1,1,1,3,5,0,3,2,1,3,2,4,3,2,3,4,2,3,1,2,4,3,3,3,5,4,2,4,3,3,2,2,3,2,2,2,1,1,1,3,3,4,3,2,2,3,2,3,2,1,4,3,3,2,2,3,5,4,2,4,2,2,2,2,3,3,1,2,2,1,1,3,3,3,3,2,2,2,2,3,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,3,3,2,1,1,2,3,3,1,2,2,3,3,2,2,3
71187,1,1,1,3,1,0,3,NA,NA,1,2,2,1,2,2,1,4,3,2,2,3,4,3,3,1,1,3,1,3,2,5,2,3,3,2,3,2,2,2,3,4,3,1,2,2,4,3,3,2,2,3,4,3,3,1,3,1,1,3,1,1,2,5,1,3,4,2,4,1,2,2,3,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,4,1,4,1,1,2,3,3,3,1,1,4,2,6,3,2,1,5,3,3,2,1,3,1,1,3,1,1,1,5,1,3,2,1,3,1,3,2,3,3,NA,NA,NA,NA,NA,NA,NA,1
22931,NA,NA,NA,NA,3,0,2,2,1,3,1,4,3,2,2,3,2,3,1,2,5,4,3,3,5,4,1,4,5,5,5,1,3,3,1,3,1,1,1,3,2,3,2,1,1,3,3,3,1,2,6,4,3,2,2,3,5,4,1,4,3,3,5,3,3,5,1,5,2,1,1,3,4,2,1,1,2,2,4,3,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,2,3,1,4,2,1,1,4,2,3,1,1,6,4,3,2,2,3,5,4,1,4,1,5,2,1,3,3,3,2,2,2,3,3,3,1,1,3,4,3,2,2,3
17353,2,1,1,3,1,0,3,2,1,3,2,4,3,2,2,3,3,3,2,3,3,4,3,3,3,2,2,3,2,1,4,2,3,3,2,2,1,1,1,3,5,2,1,3,2,2,4,3,2,3,3,4,3,2,2,3,4,1,2,3,1,2,3,2,3,3,1,2,1,1,1,3,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,4,2,1,2,2,1,3,2,3,3,1,2,2,3,3,1,2,5,4,3,2,2,3,3,2,2,4,1,2,2,2,3,3,4,2,2,2,2,3,3,2,2,4,4,2,2,2,3
53884,1,1,1,3,1,0,3,2,1,3,2,4,5,4,2,2,2,3,2,5,5,4,3,3,4,3,2,2,2,3,5,1,3,2,2,2,1,1,2,3,2,3,2,4,3,3,3,3,2,4,4,4,2,2,2,3,4,3,2,2,2,3,5,1,3,2,2,3,1,1,1,3,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,3,1,4,1,1,3,3,2,3,3,4,3,3,3,3,1,4,6,3,3,2,3,3,4,3,2,2,3,3,5,2,3,2,3,4,3,4,3,2,3,1,5,5,4,3,2,2,3
84215,NA,1,1,2,2,0,3,2,1,3,2,5,3,2,1,3,2,3,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,3,2,2,2,1,3,2,3,2,2,3,4,3,2,2,3,2,2,3,3,2,2,2,1,3,2,1,1,1,1,1,3,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,2,1,1,1,1,1,3,4,3,2,2,2,2,2,3,1,1,5,4,3,2,3,3,NA,NA,NA,NA,NA,NA,NA,NA,1,2,3,3,3,3,3,2,3,2,2,4,3,3,3,2,3
33094,NA,1,1,2,1,0,3,2,1,3,2,4,1,2,1,3,2,3,3,4,4,4,2,3,4,2,3,3,1,1,2,1,3,2,1,2,1,1,2,3,4,4,2,2,2,3,3,3,1,2,3,4,2,1,1,3,4,2,3,3,1,2,2,1,3,2,1,1,1,1,1,3,4,3,2,2,2,3,3,3,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,2,1,1,2,1,1,3,4,3,3,2,2,2,2,3,1,2,5,4,3,2,1,3,4,2,3,3,1,2,2,2,3,4,3,1,2,2,3,3,3,2,1,2,4,3,2,2,3
52441,NA,1,1,2,1,0,3,2,1,3,2,4,2,3,1,4,2,3,2,4,4,3,2,3,4,3,2,2,1,2,2,3,3,3,2,1,1,2,1,3,2,4,3,3,2,2,2,3,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,2,2,1,3,2,2,3,2,1,2,4,3,2,2,1,5,2,2,2,3,4,3,2,2,1,2,2,2,3,3,4,2,3,2,2,4,3,NA,NA,NA,NA,NA,NA,NA,1
66754,NA,NA,NA,NA,1,0,2,2,1,3,3,1,1,2,2,2,4,3,2,4,3,4,3,3,3,2,2,3,4,3,1,2,3,1,1,1,1,2,2,3,2,1,2,4,2,2,4,3,2,3,6,2,3,1,1,3,3,2,2,3,3,2,2,1,3,2,1,1,1,1,2,3,2,2,2,4,2,2,4,3,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,2,1,1,2,1,2,3,3,2,2,2,2,2,3,3,2,2,5,4,3,2,2,3,3,2,2,3,2,1,1,2,3,NA,NA,NA,NA,NA,NA,NA,1,3,2,2,4,3,2,2,3
45539,2,1,1,3,1,0,3,2,1,3,2,5,4,4,3,2,1,3,2,2,4,3,3,3,4,3,2,3,2,3,4,2,3,5,2,2,1,1,3,3,3,4,2,5,3,4,2,3,2,3,3,3,3,2,1,3,4,3,2,3,3,3,3,1,3,5,2,3,1,1,3,3,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,4,1,3,2,1,3,3,3,4,3,3,4,3,2,3,2,2,3,4,3,2,1,3,4,3,2,3,3,4,3,2,3,3,4,3,4,4,5,2,3,NA,NA,NA,NA,NA,NA,NA,1
86237,2,1,1,3,1,0,3,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,1,3,4,4,3,3,1,2,4,4,5,3,4,1,3,3,2,3,1,2,4,3,3,4,2,2,3,4,2,3,1,3,4,4,3,2,1,3,1,2,4,4,3,3,3,1,3,3,3,3,1,2,4,3,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,3,1,3,1,2,5,3,1,4,4,2,3,4,2,3,2,2,6,2,3,2,1,3,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1
93944,1,0,1,3,1,0,3,2,0,3,4,4,4,1,2,2,3,3,1,1,5,3,3,3,4,3,3,3,1,2,1,1,3,5,1,1,1,1,1,3,3,3,3,2,2,2,3,3,2,1,4,3,3,2,2,3,3,2,3,3,1,2,2,1,3,5,1,2,1,1,1,3,2,4,4,4,3,2,2,3,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1
25171,1,1,1,3,1,0,3,2,1,3,2,5,4,3,4,4,2,3,2,3,5,3,3,3,5,3,2,3,2,3,5,2,3,3,3,5,1,3,4,3,2,4,4,3,3,5,1,3,2,2,5,4,3,1,2,3,5,3,2,3,4,4,5,2,3,3,1,4,1,3,3,3,2,5,4,2,4,4,2,3,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,4,2,4,1,2,3,3,2,4,4,2,4,2,2,3,1,2,6,3,3,2,1,3,5,3,2,4,4,4,4,2,3,3,4,3,4,4,3,2,3,2,3,5,2,3,2,1,3
11360,NA,1,1,2,2,0,3,2,0,3,5,4,3,3,3,3,3,3,4,3,3,4,3,3,2,3,4,3,1,2,1,3,3,2,2,1,1,1,1,3,4,3,1,2,1,3,3,3,2,1,5,3,3,2,1,3,2,3,4,4,3,1,2,2,3,4,1,2,1,1,2,3,1,3,2,2,2,3,3,3,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,3,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,3,2,1,2,3,3,3,NA,NA,NA,NA,NA,NA,NA,1
66052,3,1,1,3,3,0,3,3,1,3,2,4,4,4,4,3,2,3,2,1,3,3,2,3,2,2,3,2,2,3,2,2,3,3,2,1,2,1,1,3,2,3,3,3,2,4,2,3,2,2,3,4,2,2,2,3,2,2,3,3,2,3,2,2,3,3,1,2,2,1,4,3,2,3,4,3,3,3,3,3,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,2,1,1,1,1,2,3,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,2,3,3,2,3,3,2,3,2,3,4,3,2,2,2,3
48187,2,1,1,3,1,0,3,2,1,3,2,2,1,1,1,3,4,3,2,1,2,4,3,3,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,3,3,3,2,2,4,3,3,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,3,1,3,3,2,3,1,2,3,2,1,1,2,1,2,3,NA,NA,NA,NA,NA,NA,NA,1,3,2,3,5,2,2,2,3,3,1,3,3,2,2,2,4,3,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1
65591,1,0,0,3,1,0,3,3,0,3,1,4,4,3,4,3,2,3,1,4,3,3,3,3,2,2,3,3,2,3,3,2,3,2,1,1,2,2,4,3,2,3,3,3,3,3,2,3,1,4,2,3,3,1,1,3,1,2,3,3,1,2,2,2,3,2,1,1,1,2,4,3,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,3,1,1,1,2,2,3,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,2,2,2,2,4,3,NA,NA,NA,NA,NA,NA,NA,1
49597,1,1,1,3,5,0,3,2,1,3,2,4,3,3,2,3,2,3,1,1,3,4,3,3,3,1,2,4,3,2,2,2,3,3,1,2,1,2,3,3,2,4,4,3,3,3,1,3,3,3,3,3,3,2,2,3,3,1,2,3,3,2,2,2,3,2,1,2,2,2,2,3,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,2,1,2,2,2,3,3,2,3,3,3,3,3,1,3,2,2,5,4,2,2,2,3,3,1,2,3,2,2,2,2,3,2,4,3,3,3,3,2,3,2,3,4,3,4,2,1,3
15723,2,1,1,3,5,0,3,1,1,3,2,3,1,5,2,3,3,3,3,4,3,3,2,3,4,2,1,3,2,3,4,2,3,4,2,2,1,2,2,3,3,2,2,5,1,2,4,3,2,4,3,4,3,2,2,3,4,1,2,3,2,4,1,2,3,5,1,2,1,2,2,3,2,3,2,5,2,2,3,3,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,5,1,1,1,2,2,3,2,3,2,4,4,5,1,3,1,4,5,3,2,2,1,3,4,1,2,3,2,5,2,1,3,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1
78062,1,1,1,3,3,0,3,2,1,3,2,3,2,2,2,3,2,3,2,2,3,4,2,3,2,1,3,2,2,2,2,1,3,5,2,2,2,1,2,3,2,3,2,2,2,3,2,3,2,2,3,4,2,2,2,3,2,2,2,2,2,2,2,1,3,3,2,2,1,1,3,3,2,3,2,2,2,3,3,3,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,3,2,2,1,1,3,3,2,3,3,2,2,3,2,3,2,2,6,4,2,2,1,3,2,1,2,3,2,2,2,2,3,2,3,3,3,3,4,2,3,2,2,3,4,2,2,2,3
25947,2,1,1,3,1,0,3,1,1,3,3,4,2,4,3,3,2,3,3,2,3,4,3,3,4,2,3,3,2,2,1,4,3,2,2,1,3,1,4,3,4,4,2,3,2,3,3,3,3,2,3,4,3,2,3,3,4,2,4,3,3,2,1,4,3,2,1,1,2,1,3,3,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,4,2,2,3,3,2,1,3,3,2,1,1,2,1,3,3,3,3,1,4,2,3,2,3,2,1,6,3,3,2,2,3,4,2,3,3,3,2,1,3,3,2,2,3,2,3,4,3,3,2,1,4,3,3,2,2,3
71627,1,1,1,3,1,0,3,2,1,3,3,3,3,2,2,3,3,3,1,2,4,4,2,3,4,3,3,2,5,3,2,1,3,2,1,1,1,2,1,3,2,2,2,2,2,4,4,3,1,3,5,3,2,1,3,3,4,3,3,2,3,3,1,1,3,3,1,2,1,2,1,3,2,3,4,3,2,5,3,3,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,3,1,1,1,1,1,3,3,5,4,4,4,3,2,3,1,3,6,4,2,2,2,3,NA,NA,NA,NA,NA,NA,NA,NA,1,3,3,2,2,3,5,3,3,2,2,4,4,2,2,3,3
41393,1,1,1,3,1,0,3,2,1,3,2,4,4,3,4,3,1,3,4,2,5,4,3,3,5,2,2,3,2,2,4,1,3,2,2,2,1,2,4,3,2,3,3,2,3,5,2,3,2,2,5,3,2,1,1,3,5,2,2,3,1,1,2,1,3,4,1,2,1,2,3,3,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,3,1,2,1,2,3,3,4,1,1,3,2,2,4,3,3,1,5,4,2,1,1,3,5,2,2,3,2,3,3,1,3,4,2,2,3,3,2,4,3,NA,NA,NA,NA,NA,NA,NA,1
10060,2,NA,NA,1,2,0,3,2,1,3,2,4,5,3,4,3,2,3,1,3,4,3,2,3,3,2,2,2,3,2,3,2,3,2,2,2,2,1,1,3,1,4,4,3,3,3,2,3,1,3,5,3,2,1,1,3,3,2,1,2,3,1,3,2,3,2,1,2,2,1,1,3,1,4,4,3,4,3,2,3,NA,NA,NA,NA,NA,NA,NA,1,3,2,2,2,2,1,2,1,3,2,1,1,2,1,1,3,2,3,3,2,3,2,2,3,1,3,5,3,2,1,1,3,3,2,1,2,3,2,3,1,3,1,5,5,3,4,4,1,3,NA,NA,NA,NA,NA,NA,NA,1
18707,1,1,1,3,4,0,3,2,1,3,3,4,3,3,3,3,2,3,2,3,2,4,3,3,4,2,2,3,2,4,4,2,3,5,2,4,1,3,4,3,3,3,3,3,3,3,2,3,2,3,3,4,3,3,3,3,4,2,2,3,2,3,4,1,3,4,2,3,1,3,3,3,3,3,3,3,3,3,1,3,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,5,1,4,1,3,2,3,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1
80058,NA,1,1,2,1,0,3,2,1,3,1,5,5,3,3,4,1,3,1,4,3,3,4,3,2,1,2,2,1,1,3,2,3,3,2,3,1,2,1,3,1,5,5,3,2,5,1,3,2,4,4,3,5,2,1,3,2,1,2,2,2,2,2,2,3,3,1,3,1,1,1,3,2,5,4,4,4,3,1,3,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,3,1,3,1,1,2,3,2,5,3,2,2,2,2,3,1,3,4,3,5,2,1,3,2,1,2,2,2,2,3,2,3,3,4,3,2,1,4,1,3,1,3,4,3,4,1,1,3
14962,1,1,1,3,1,0,3,2,1,3,5,3,2,2,2,1,6,3,3,3,2,5,3,3,2,1,4,2,2,1,1,1,3,3,2,1,1,1,1,3,2,4,1,1,1,1,2,3,3,3,4,4,3,2,2,3,3,1,4,2,2,1,1,1,3,3,1,1,1,1,1,3,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,2,1,1,1,1,1,3,4,1,1,1,1,1,5,3,3,2,5,5,3,2,1,3,3,1,3,2,1,3,2,1,3,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1
70889,NA,1,1,2,1,0,3,2,1,3,2,4,4,2,4,5,1,3,1,3,5,3,3,3,2,1,3,2,2,1,2,3,3,2,1,2,2,1,1,3,1,5,4,3,4,4,1,3,1,2,4,3,3,1,2,3,2,1,3,2,2,2,2,3,3,2,1,2,2,1,1,3,2,4,4,3,4,4,2,3,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,2,1,1,1,1,1,3,2,5,4,3,5,5,1,3,1,2,5,4,3,1,1,3,NA,NA,NA,NA,NA,NA,NA,NA,1,3,3,3,2,5,4,2,3,NA,NA,NA,NA,NA,NA,NA,1
36006,NA,1,0,2,1,0,3,2,1,3,2,4,3,2,3,2,3,3,2,1,5,3,3,3,5,2,1,3,2,1,2,1,3,1,1,1,1,1,2,3,1,3,4,3,4,2,3,3,2,2,5,3,3,2,3,3,5,2,1,3,1,1,2,1,3,1,1,1,1,1,2,3,2,3,3,2,3,2,2,3,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,4,3,2,3,3,3,3,2,2,3,2,1,6,4,3,2,2,3,5,2,1,3,2,2,1,2,3,2,3,3,2,3,3,3,3,2,1,4,4,3,2,2,3
79877,2,1,1,3,NA,NA,1,2,1,3,4,4,1,4,2,3,3,3,2,3,3,4,4,3,2,1,3,3,3,2,4,4,3,2,2,3,1,1,2,3,NA,NA,NA,NA,NA,NA,NA,1,2,3,3,4,4,2,1,3,2,1,3,3,4,3,4,2,3,2,2,3,1,2,2,3,3,4,2,3,2,2,1,3,NA,NA,NA,NA,NA,NA,NA,1,2,1,4,3,3,2,4,1,3,2,2,4,1,2,2,3,3,4,2,3,1,3,1,3,2,3,6,3,4,2,1,3,2,1,3,3,3,4,5,1,3,5,3,2,3,2,2,2,3,1,3,3,4,4,2,2,3
37617,2,1,1,3,1,0,3,2,1,3,2,2,1,2,1,3,3,3,3,5,4,4,3,3,4,4,1,2,1,2,3,2,3,1,1,2,2,2,1,3,2,3,3,2,2,3,3,3,2,4,5,3,3,3,2,3,4,4,2,3,1,1,2,2,3,2,1,2,1,1,1,3,2,4,4,2,2,4,2,3,NA,NA,NA,NA,NA,NA,NA,1,4,4,1,3,1,1,2,2,3,1,1,1,1,1,1,3,2,3,3,3,2,2,2,3,1,4,6,3,3,2,1,3,4,4,2,3,1,1,2,2,3,2,4,3,2,2,3,2,3,3,1,3,4,3,2,2,3
